size,puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,exact_match_expected,cells_match_expected,total_cells,extract_time,solve_time
9,7,0.9876543209876543,True,True,True,False,77,81,0.03381085395812988,0.31516504287719727
9,8,1.0,True,True,True,True,81,81,0.05351090431213379,0.13756918907165527
9,9,1.0,True,True,True,True,81,81,0.04740619659423828,0.1936049461364746
9,10,1.0,True,True,True,True,81,81,0.04776597023010254,0.2918670177459717
9,11,1.0,True,True,True,True,81,81,0.03407788276672363,0.1082313060760498
9,12,0.9876543209876543,True,True,True,False,63,81,0.049092769622802734,0.11301612854003906
9,13,0.9876543209876543,True,True,True,False,66,81,0.04281806945800781,0.2445230484008789
9,14,1.0,True,True,True,True,81,81,0.04793214797973633,0.24510908126831055
9,15,1.0,True,True,True,True,81,81,0.0425419807434082,0.27385997772216797
9,16,1.0,True,True,True,True,81,81,0.04126310348510742,0.3042030334472656
9,17,1.0,True,True,True,True,81,81,0.03189516067504883,0.27214908599853516
