puzzle_type,puzzle_idx,num_clues,num_actual_errors,actual_error_positions,num_suspects_detected,suspect_positions,detection_probes,detection_time,suspects_include_all_actual,num_actual_in_suspects,correction_type,correction_attempts,total_solve_calls,positions_corrected,final_success,final_matches_ground_truth,total_time
hexasudoku_16x16_digits,37,120,1,"[(6, 7)]",0,[],1,6.161932945251465,False,0,none,0,2,[],False,False,6.953643083572388
hexasudoku_16x16_digits,38,120,4,"[(3, 2), (7, 14), (13, 9), (14, 10)]",5,"[(14, 10), (14, 5), (3, 10), (0, 9), (13, 9)]",3,0.3004000186920166,False,2,uncorrectable,30,33,[],False,False,1.5024237632751465
hexasudoku_16x16_digits,39,120,2,"[(10, 6), (11, 15)]",5,"[(10, 6), (8, 7), (7, 6), (5, 15), (11, 15)]",3,0.2999098300933838,True,2,uncorrectable,30,33,[],False,False,1.5402991771697998
hexasudoku_16x16_digits,40,120,1,"[(6, 12)]",2,"[(4, 12), (6, 12)]",3,11.668848037719727,True,1,single,2,5,"[(6, 12)]",True,True,12.641653060913086
hexasudoku_16x16_digits,41,120,1,"[(15, 9)]",120,"[(15, 9), (1, 6), (12, 11), (7, 14), (9, 10), (7, 7), (1, 0), (8, 5), (9, 1), (13, 0)]",3,12.381787061691284,True,1,single,1,4,"[(15, 9)]",True,True,12.970617055892944
hexasudoku_16x16_digits,42,120,1,"[(7, 9)]",120,"[(7, 9), (1, 6), (7, 12), (8, 4), (11, 10), (0, 0), (15, 2), (2, 14), (0, 2), (8, 3)]",3,14.152230978012085,True,1,uncorrectable,920,923,[],False,False,51.58646082878113
hexasudoku_16x16_digits,43,120,1,"[(10, 4)]",120,"[(4, 14), (10, 4), (9, 11), (3, 5), (0, 11), (3, 4), (5, 11), (0, 14), (4, 9), (4, 11)]",51,156.18804216384888,True,1,single,2,53,"[(10, 4)]",True,True,156.5847659111023
hexasudoku_16x16_digits,44,120,1,"[(5, 1)]",3,"[(5, 1), (6, 2), (2, 1)]",3,6.002738952636719,True,1,uncorrectable,7,10,[],False,False,6.293609857559204
hexasudoku_16x16_digits,45,120,0,[],0,[],1,7.7454938888549805,True,0,none,0,2,[],True,True,9.034555196762085
hexasudoku_16x16_digits,46,120,0,[],0,[],1,3.9843859672546387,True,0,none,0,2,[],True,True,4.353127956390381
hexasudoku_16x16_digits,47,120,0,[],0,[],1,8.301573991775513,True,0,none,0,2,[],True,True,9.749860286712646
hexasudoku_16x16_digits,48,120,1,"[(1, 1)]",3,"[(1, 1), (11, 1), (1, 9)]",3,6.535226821899414,True,1,uncorrectable,7,10,[],False,False,6.884906053543091
hexasudoku_16x16_digits,49,120,0,[],0,[],1,6.286424875259399,True,0,none,0,2,[],True,True,7.187938690185547
hexasudoku_16x16_digits,50,120,1,"[(12, 11)]",3,"[(12, 11), (13, 11), (12, 7)]",3,5.868691921234131,True,1,uncorrectable,7,10,[],False,False,6.159846305847168
hexasudoku_16x16_digits,51,120,2,"[(6, 15), (14, 3)]",113,"[(5, 5), (11, 4), (10, 0), (4, 5), (13, 8), (10, 13), (4, 2), (15, 4), (4, 8), (12, 13)]",3,7.915794134140015,True,2,uncorrectable,920,923,[],False,False,46.358864307403564
hexasudoku_16x16_digits,52,120,2,"[(1, 14), (8, 14)]",4,"[(1, 8), (1, 14), (8, 6), (8, 14)]",3,0.31018614768981934,True,2,two,9,12,"[(1, 14), (8, 14)]",True,True,1.144601821899414
hexasudoku_16x16_digits,53,120,0,[],0,[],1,5.556071043014526,True,0,none,0,2,[],True,True,6.223273992538452
hexasudoku_16x16_digits,54,120,1,"[(10, 10)]",116,"[(10, 10), (11, 9), (7, 6), (0, 8), (0, 14), (5, 14), (9, 10), (7, 3), (9, 0), (15, 0)]",3,10.499742984771729,True,1,single,1,4,"[(10, 10)]",True,True,11.090484142303467
hexasudoku_16x16_digits,55,120,1,"[(5, 10)]",120,"[(5, 10), (14, 15), (12, 2), (10, 5), (12, 0), (3, 13), (14, 6), (6, 1), (11, 10), (9, 15)]",3,10.494791984558105,True,1,uncorrectable,920,923,[],False,False,48.82608723640442
hexasudoku_16x16_digits,56,120,1,"[(3, 0)]",120,"[(3, 0), (8, 9), (14, 11), (1, 6), (12, 7), (7, 13), (11, 11), (15, 9), (2, 12), (7, 11)]",3,9.706712007522583,True,1,uncorrectable,920,923,[],False,False,47.44069194793701
hexasudoku_16x16_digits,57,120,1,"[(2, 13)]",120,"[(2, 13), (12, 5), (12, 8), (12, 9), (9, 4), (8, 15), (3, 12), (12, 1), (3, 13), (8, 12)]",46,134.1622359752655,True,1,single,1,47,"[(2, 13)]",True,True,134.7096118927002
hexasudoku_16x16_digits,58,120,1,"[(2, 1)]",3,"[(2, 1), (2, 4), (0, 0)]",3,9.903433084487915,True,1,uncorrectable,7,10,[],False,False,10.196006059646606
