puzzle_type,puzzle_idx,extraction_accuracy,correction_type,num_errors_corrected,final_success,extract_time,solve_time
sudoku_9x9,29,1.0,none,0,True,0.0848381519317627,0.21146821975708008
sudoku_9x9,30,1.0,none,0,True,0.08972501754760742,0.08919692039489746
sudoku_9x9,31,1.0,none,0,True,0.06764984130859375,0.16459298133850098
sudoku_9x9,32,1.0,none,0,True,0.07959914207458496,0.1762712001800537
sudoku_9x9,33,1.0,none,0,True,0.06960391998291016,0.22232508659362793
sudoku_9x9,34,1.0,none,0,True,0.0827791690826416,0.1975100040435791
sudoku_9x9,35,1.0,none,0,True,0.07735705375671387,0.19111275672912598
sudoku_9x9,36,1.0,none,0,True,0.07983112335205078,0.11421704292297363
sudoku_9x9,37,1.0,none,0,True,0.10362100601196289,0.36451101303100586
sudoku_9x9,38,1.0,none,0,True,0.10590219497680664,0.1900491714477539
sudoku_9x9,39,1.0,none,0,True,0.09818196296691895,0.47849512100219727
sudoku_9x9,40,1.0,none,0,True,0.09178900718688965,0.24036598205566406
sudoku_9x9,41,1.0,none,0,True,0.10117101669311523,0.17646288871765137
sudoku_9x9,42,1.0,none,0,True,0.07247591018676758,0.2782919406890869
sudoku_9x9,43,1.0,none,0,True,0.09304594993591309,0.43869805335998535
sudoku_9x9,44,1.0,none,0,True,0.06836724281311035,0.273237943649292
sudoku_9x9,45,1.0,none,0,True,0.08180689811706543,0.25892210006713867
sudoku_9x9,46,1.0,none,0,True,0.07320976257324219,0.1581711769104004
sudoku_9x9,47,1.0,none,0,True,0.07837510108947754,0.2664330005645752
sudoku_9x9,48,1.0,none,0,True,0.06719803810119629,0.2577378749847412
sudoku_9x9,49,1.0,none,0,True,0.0710599422454834,0.15456676483154297
sudoku_9x9,50,1.0,none,0,True,0.0751199722290039,0.1731719970703125
sudoku_9x9,51,1.0,none,0,True,0.0721139907836914,0.223341703414917
sudoku_9x9,52,1.0,none,0,True,0.07855486869812012,0.12301492691040039
sudoku_9x9,53,1.0,none,0,True,0.07340288162231445,0.26984715461730957
sudoku_9x9,54,1.0,none,0,True,0.07440900802612305,0.18950462341308594
sudoku_9x9,55,1.0,none,0,True,0.05576801300048828,0.3846869468688965
sudoku_9x9,56,1.0,none,0,True,0.09796929359436035,0.18424105644226074
sudoku_9x9,57,1.0,none,0,True,0.08472490310668945,0.20550084114074707
sudoku_9x9,58,0.9876543209876543,single,1,True,0.08422183990478516,0.2311568260192871
sudoku_9x9,59,1.0,none,0,True,0.06405401229858398,0.1824510097503662
sudoku_9x9,60,1.0,none,0,True,0.06491804122924805,0.1740868091583252
sudoku_9x9,61,1.0,none,0,True,0.08134794235229492,0.1606121063232422
sudoku_9x9,62,1.0,none,0,True,0.0641028881072998,0.1979539394378662
sudoku_9x9,63,1.0,none,0,True,0.07789731025695801,0.2343130111694336
sudoku_9x9,64,1.0,none,0,True,0.0557408332824707,0.20496201515197754
sudoku_9x9,65,1.0,none,0,True,0.078125,0.3370943069458008
sudoku_9x9,66,1.0,none,0,True,0.06962203979492188,0.32115793228149414
sudoku_9x9,67,1.0,none,0,True,0.07057309150695801,0.18572115898132324
sudoku_9x9,68,1.0,none,0,True,0.08452796936035156,0.3495359420776367
sudoku_9x9,69,1.0,none,0,True,0.0932462215423584,0.29408907890319824
sudoku_9x9,70,1.0,none,0,True,0.10045695304870605,0.13571786880493164
sudoku_9x9,71,1.0,none,0,True,0.09290599822998047,0.10441708564758301
sudoku_9x9,72,1.0,none,0,True,0.06161093711853027,0.10591888427734375
sudoku_9x9,73,1.0,none,0,True,0.0623631477355957,0.46694302558898926
sudoku_9x9,74,1.0,none,0,True,0.08592891693115234,0.06275510787963867
sudoku_9x9,75,1.0,none,0,True,0.09664201736450195,0.3198850154876709
sudoku_9x9,76,1.0,none,0,True,0.06526899337768555,0.2175450325012207
sudoku_9x9,77,1.0,none,0,True,0.09719085693359375,0.13876104354858398
sudoku_9x9,78,1.0,none,0,True,0.07309889793395996,0.29715991020202637
sudoku_9x9,79,1.0,none,0,True,0.07369875907897949,0.1408400535583496
sudoku_9x9,80,1.0,none,0,True,0.0671529769897461,0.10883092880249023
sudoku_9x9,81,1.0,none,0,True,0.09099388122558594,0.11069679260253906
sudoku_9x9,82,1.0,none,0,True,0.07576918601989746,0.1384739875793457
sudoku_9x9,83,1.0,none,0,True,0.07767009735107422,0.3771941661834717
sudoku_9x9,84,1.0,none,0,True,0.06700801849365234,0.2198951244354248
sudoku_9x9,85,1.0,none,0,True,0.07001876831054688,0.29273319244384766
sudoku_9x9,86,1.0,none,0,True,0.06294775009155273,0.3144559860229492
sudoku_9x9,87,1.0,none,0,True,0.07050704956054688,0.11676478385925293
sudoku_9x9,88,1.0,none,0,True,0.07382464408874512,0.07754993438720703
sudoku_9x9,89,0.9876543209876543,single,1,True,0.06756997108459473,0.18483495712280273
sudoku_9x9,90,1.0,none,0,True,0.07368612289428711,0.10454297065734863
sudoku_9x9,91,1.0,none,0,True,0.07229399681091309,0.10312700271606445
sudoku_9x9,92,1.0,none,0,True,0.06842398643493652,0.11305689811706543
sudoku_9x9,93,1.0,none,0,True,0.13615012168884277,0.18584799766540527
sudoku_9x9,94,1.0,none,0,True,0.10284423828125,0.5284640789031982
