puzzle_id,size,size_detected,size_correct,num_cages_expected,num_cages_detected,solved,solve_time_ms
73,4,4,True,7,7,False,167.92798042297363
74,4,4,True,7,7,False,174.23677444458008
75,4,4,True,8,8,True,171.56410217285156
76,4,4,True,7,7,False,168.4408187866211
77,4,4,True,7,7,False,173.57397079467773
78,4,4,True,9,9,True,172.3799705505371
79,4,4,True,7,7,False,173.1739044189453
80,4,4,True,7,7,False,173.02894592285156
81,4,4,True,8,8,False,190.10305404663086
82,4,4,True,6,6,True,174.78013038635254
83,4,4,True,7,7,True,177.05512046813965
84,4,4,True,8,8,False,175.9791374206543
85,4,4,True,7,7,True,185.5931282043457
86,4,4,True,7,7,False,214.10298347473145
87,4,4,True,8,8,False,186.94400787353516
88,4,4,True,7,7,False,216.63379669189453
89,4,4,True,8,8,False,221.94194793701172
90,4,4,True,7,7,True,183.57396125793457
91,4,4,True,7,7,True,177.01077461242676
92,4,4,True,8,8,False,169.13104057312012
93,4,4,True,6,6,False,166.917085647583
94,4,4,True,9,9,True,175.0342845916748
95,4,4,True,8,8,False,169.8739528656006
96,4,4,True,8,8,True,167.0248508453369
97,4,4,True,7,7,True,176.5890121459961
98,4,4,True,7,7,False,173.25782775878906
99,4,4,True,7,7,False,171.8449592590332
0,5,5,True,9,9,False,266.64090156555176
1,5,5,True,9,9,False,199.4760036468506
2,5,5,True,10,10,False,189.2867088317871
3,5,5,True,9,9,False,190.67025184631348
4,5,5,True,10,10,False,191.35594367980957
5,5,5,True,10,10,False,190.84501266479492
6,5,5,True,9,9,False,186.7201328277588
7,5,5,True,9,9,False,187.83998489379883
8,5,5,True,8,8,False,191.38598442077637
9,5,5,True,10,10,False,194.98395919799805
10,5,5,True,9,9,False,187.30401992797852
11,5,5,True,9,9,False,187.72101402282715
12,5,5,True,10,10,False,189.0411376953125
13,5,5,True,9,9,False,190.64784049987793
14,5,5,True,10,10,False,198.23193550109863
15,5,5,True,9,9,True,203.83381843566895
16,5,5,True,9,9,False,195.09100914001465
17,5,5,True,9,9,False,201.21288299560547
18,5,5,True,8,8,False,198.64988327026367
19,5,5,True,10,10,False,205.93786239624023
20,5,5,True,9,9,False,201.70903205871582
21,5,5,True,9,9,False,219.2387580871582
22,5,5,True,9,9,False,210.1430892944336
23,5,5,True,10,10,False,195.89877128601074
24,5,5,True,9,9,False,197.41415977478027
25,5,5,True,9,9,False,196.91967964172363
26,5,5,True,8,8,False,204.38885688781738
27,5,5,True,8,8,False,199.57399368286133
28,5,5,True,9,9,False,190.83881378173828
29,5,5,True,10,10,False,188.23719024658203
30,5,5,True,10,10,False,193.36795806884766
31,5,5,True,8,8,False,192.42000579833984
32,5,5,True,11,11,False,192.55614280700684
33,5,5,True,9,9,False,188.3373260498047
34,5,5,True,9,9,False,187.76178359985352
35,5,5,True,9,9,False,183.11190605163574
36,5,5,True,9,9,False,187.81495094299316
37,5,5,True,7,7,False,186.04111671447754
38,5,5,True,10,10,False,189.29791450500488
39,5,5,True,9,9,False,191.99299812316895
40,5,5,True,10,10,False,240.494966506958
41,5,5,True,9,9,False,190.75894355773926
42,5,5,True,10,10,False,190.90509414672852
43,5,5,True,10,10,False,215.4402732849121
44,5,5,True,9,9,False,210.99185943603516
45,5,5,True,8,8,False,203.77302169799805
46,5,5,True,10,10,True,197.72887229919434
47,5,5,True,10,10,False,188.09103965759277
48,5,5,True,9,9,False,192.4610137939453
49,5,5,True,8,8,False,190.98281860351562
50,5,5,True,9,9,False,191.43986701965332
51,5,5,True,9,9,False,194.59104537963867
52,5,5,True,10,10,False,196.07186317443848
53,5,5,True,10,10,False,196.2299346923828
54,5,5,True,8,8,False,193.20297241210938
55,5,5,True,10,10,False,203.47213745117188
56,5,5,True,10,10,True,213.77015113830566
57,5,5,True,10,10,False,212.12506294250488
58,5,5,True,10,10,False,217.2231674194336
59,5,5,True,8,8,False,230.27706146240234
60,5,5,True,9,9,False,210.05487442016602
61,5,5,True,9,9,False,210.52217483520508
62,5,5,True,10,10,True,212.68391609191895
63,5,5,True,12,12,False,207.25512504577637
64,5,5,True,10,10,False,200.91891288757324
65,5,5,True,9,9,False,210.6459140777588
66,5,5,True,9,9,False,204.83922958374023
67,5,5,True,10,10,True,207.25488662719727
68,5,5,True,8,8,False,202.8958797454834
69,5,5,True,10,10,False,207.71098136901855
70,5,5,True,9,9,False,215.7130241394043
71,5,5,True,9,9,False,308.81810188293457
72,5,5,True,9,9,False,222.1548557281494
73,5,5,True,8,8,False,210.6921672821045
74,5,5,True,8,8,False,221.53186798095703
75,5,5,True,11,11,False,214.18213844299316
76,5,5,True,9,9,False,213.73796463012695
77,5,5,True,9,9,False,208.21309089660645
78,5,5,True,9,9,False,308.0449104309082
79,5,5,True,11,11,False,208.64510536193848
80,5,5,True,9,9,False,206.2091827392578
81,5,5,True,9,9,False,197.65400886535645
82,5,5,True,10,10,False,197.23916053771973
83,5,5,True,9,9,False,195.0979232788086
84,5,5,True,10,10,False,194.3371295928955
85,5,5,True,10,10,False,181.96797370910645
86,5,5,True,8,8,False,182.1589469909668
87,5,5,True,8,8,False,186.74206733703613
88,5,5,True,8,8,False,189.3470287322998
89,5,5,True,10,10,False,194.05579566955566
90,5,5,True,9,9,False,217.02194213867188
91,5,5,True,10,10,False,190.3989315032959
92,5,5,True,8,8,False,191.1029815673828
93,5,5,True,10,10,False,192.04282760620117
94,5,5,True,9,9,False,221.55523300170898
95,5,5,True,10,10,False,224.61509704589844
96,5,5,True,9,9,False,213.2241725921631
97,5,5,True,9,9,False,205.4901123046875
98,5,5,True,10,10,False,200.9871006011963
99,5,5,True,9,9,False,202.29697227478027
0,6,6,True,13,13,False,226.81498527526855
1,6,6,True,11,11,False,228.7588119506836
2,6,6,True,14,14,False,237.75982856750488
3,6,6,True,13,13,False,241.46509170532227
4,6,6,True,14,14,False,234.33184623718262
5,6,6,True,13,13,False,229.841947555542
6,6,6,True,12,12,False,228.68800163269043
7,6,6,True,15,15,False,229.1100025177002
8,6,6,True,13,13,False,232.41281509399414
9,6,6,True,14,14,False,226.76682472229004
10,6,6,True,12,12,False,224.79915618896484
11,6,6,True,13,13,False,225.8741855621338
12,6,6,True,14,14,False,230.36527633666992
13,6,6,True,13,13,False,227.6012897491455
14,6,6,True,14,14,False,224.29990768432617
15,6,6,True,13,13,False,224.13015365600586
16,6,6,True,13,13,False,218.45197677612305
17,6,6,True,13,13,False,213.51909637451172
18,6,6,True,13,13,False,213.6828899383545
19,6,6,True,13,13,False,218.5041904449463
20,6,6,True,13,13,False,220.23987770080566
21,6,6,True,13,13,False,232.56516456604004
